layer,alpha,n_total,n_valid,n_match,success_rate
17,2.5,63,63,61,0.9683
18,0.1,63,63,59,0.9365
18,0.2,63,63,60,0.9524
18,0.3,63,63,61,0.9683
18,0.4,63,63,61,0.9683
18,0.5,63,63,61,0.9683
18,0.6,63,61,59,0.9672
18,0.7,63,63,61,0.9683
18,0.8,63,62,60,0.9677
18,0.9,63,62,60,0.9677
18,1.0,63,63,61,0.9683
18,1.5,63,63,62,0.9841
18,2.0,63,63,63,1.0
18,2.5,63,63,62,0.9841
19,0.1,63,63,59,0.9365
19,0.2,63,63,61,0.9683
19,0.3,63,63,61,0.9683
19,0.4,63,63,61,0.9683
19,0.5,63,63,62,0.9841
19,0.6,63,63,61,0.9683
19,0.7,63,63,61,0.9683
19,0.8,63,61,59,0.9672
19,0.9,63,62,60,0.9677
19,1.0,63,63,62,0.9841
19,1.5,63,63,63,1.0
19,2.0,63,63,62,0.9841
19,2.5,63,63,62,0.9841
20,0.1,63,63,60,0.9524
20,0.2,63,62,61,0.9839
20,0.3,63,62,61,0.9839
20,0.4,63,62,61,0.9839
20,0.5,63,63,62,0.9841
20,0.6,63,63,62,0.9841
20,0.7,63,63,62,0.9841
20,0.8,63,63,62,0.9841
20,0.9,63,63,62,0.9841
20,1.0,63,63,63,1.0
20,1.5,63,63,61,0.9683
20,2.0,63,62,60,0.9677
20,2.5,63,63,61,0.9683
21,0.1,63,63,59,0.9365
21,0.2,63,63,61,0.9683
21,0.3,63,63,61,0.9683
21,0.4,63,63,61,0.9683
21,0.5,63,63,62,0.9841
21,0.6,63,63,61,0.9683
21,0.7,63,63,61,0.9683
21,0.8,63,63,62,0.9841
21,0.9,63,62,60,0.9677
21,1.0,63,63,60,0.9524
21,1.5,63,63,60,0.9524
21,2.0,63,60,57,0.95
21,2.5,63,63,58,0.9206
22,0.1,63,63,59,0.9365
22,0.2,63,62,60,0.9677
22,0.3,63,63,62,0.9841
22,0.4,63,63,62,0.9841
22,0.5,63,63,62,0.9841
22,0.6,63,62,61,0.9839
22,0.7,63,62,61,0.9839
22,0.8,63,63,62,0.9841
22,0.9,63,63,62,0.9841
22,1.0,63,63,62,0.9841
22,1.5,63,62,60,0.9677
22,2.0,63,62,60,0.9677
22,2.5,63,61,57,0.9344
23,0.1,63,63,59,0.9365
23,0.2,63,63,59,0.9365
23,0.3,63,63,59,0.9365
23,0.4,63,63,61,0.9683
23,0.5,63,63,62,0.9841
23,0.6,63,62,60,0.9677
23,0.7,63,62,60,0.9677
23,0.8,63,63,60,0.9524
23,0.9,63,63,60,0.9524
23,1.0,63,63,61,0.9683
23,1.5,63,63,62,0.9841
23,2.0,63,63,62,0.9841
23,2.5,63,63,61,0.9683
24,0.1,63,63,58,0.9206
24,0.2,63,63,58,0.9206
24,0.3,63,62,58,0.9355
24,0.4,63,63,59,0.9365
24,0.5,63,63,61,0.9683
24,0.6,63,63,59,0.9365
24,0.7,63,63,58,0.9206
24,0.8,63,62,60,0.9677
24,0.9,63,61,59,0.9672
24,1.0,63,63,60,0.9524
24,1.5,63,63,61,0.9683
24,2.0,63,63,62,0.9841
24,2.5,63,63,62,0.9841
25,0.1,63,63,59,0.9365
25,0.2,63,63,60,0.9524
25,0.3,63,63,60,0.9524
25,0.4,63,63,60,0.9524
25,0.5,63,61,59,0.9672
25,0.6,63,63,60,0.9524
25,0.7,63,63,60,0.9524
25,0.8,63,63,60,0.9524
25,0.9,63,62,59,0.9516
25,1.0,63,62,59,0.9516
25,1.5,63,62,60,0.9677
25,2.0,63,62,61,0.9839
25,2.5,63,61,60,0.9836
26,0.1,63,63,60,0.9524
26,0.2,63,62,59,0.9516
26,0.3,63,62,59,0.9516
26,0.4,63,62,59,0.9516
26,0.5,63,63,61,0.9683
26,0.6,63,63,60,0.9524
26,0.7,63,62,59,0.9516
26,0.8,63,63,59,0.9365
26,0.9,63,61,57,0.9344
26,1.0,63,63,59,0.9365
26,1.5,63,62,60,0.9677
26,2.0,63,63,61,0.9683
26,2.5,63,63,62,0.9841
27,0.1,63,62,58,0.9355
27,0.2,63,62,58,0.9355
27,0.3,63,62,58,0.9355
27,0.4,63,62,58,0.9355
27,0.5,63,63,60,0.9524
27,0.6,63,62,58,0.9355
27,0.7,63,62,58,0.9355
27,0.8,63,61,57,0.9344
27,0.9,63,61,57,0.9344
27,1.0,63,63,61,0.9683
27,1.5,63,63,60,0.9524
27,2.0,63,63,58,0.9206
27,2.5,63,63,62,0.9841
28,0.1,63,63,58,0.9206
28,0.2,63,63,59,0.9365
28,0.3,63,63,59,0.9365
28,0.4,63,63,59,0.9365
28,0.5,63,62,59,0.9516
28,0.6,63,63,60,0.9524
28,0.7,63,62,59,0.9516
28,0.8,63,62,59,0.9516
28,0.9,63,63,59,0.9365
28,1.0,63,63,61,0.9683
28,1.5,63,63,59,0.9365
28,2.0,63,63,61,0.9683
28,2.5,63,61,60,0.9836
29,0.1,63,63,59,0.9365
29,0.2,63,63,58,0.9206
29,0.3,63,63,58,0.9206
29,0.4,63,63,58,0.9206
29,0.5,63,63,58,0.9206
29,0.6,63,63,57,0.9048
29,0.7,63,63,57,0.9048
29,0.8,63,62,56,0.9032
29,0.9,63,63,57,0.9048
29,1.0,63,62,58,0.9355
29,1.5,63,63,60,0.9524
29,2.0,63,63,60,0.9524
29,2.5,63,62,62,1.0
30,0.1,63,63,59,0.9365
30,0.2,63,61,57,0.9344
30,0.3,63,63,59,0.9365
30,0.4,63,63,59,0.9365
30,0.5,63,63,58,0.9206
30,0.6,63,62,57,0.9194
30,0.7,63,63,58,0.9206
30,0.8,63,62,56,0.9032
30,0.9,63,62,55,0.8871
30,1.0,63,63,58,0.9206
30,1.5,63,63,60,0.9524
30,2.0,63,61,57,0.9344
30,2.5,63,62,62,1.0
31,0.1,63,62,57,0.9194
31,0.2,63,63,57,0.9048
31,0.3,63,63,57,0.9048
31,0.4,63,63,58,0.9206
31,0.5,63,63,58,0.9206
31,0.6,63,63,58,0.9206
31,0.7,63,62,57,0.9194
31,0.8,63,63,58,0.9206
