layer,alpha,n_total,n_valid,n_match,success_rate
30,0.2,55,53,49,0.9245
30,0.3,55,54,51,0.9444
30,0.4,55,53,51,0.9623
30,0.5,55,51,48,0.9412
30,0.6,55,54,50,0.9259
30,0.7,55,54,50,0.9259
30,0.8,55,54,51,0.9444
30,0.9,55,53,50,0.9434
30,1.0,55,51,49,0.9608
30,1.5,55,51,46,0.902
30,2.0,55,53,46,0.8679
30,2.5,55,50,43,0.86
31,0.1,55,51,49,0.9608
31,0.2,55,51,47,0.9216
31,0.3,55,53,51,0.9623
31,0.4,55,52,49,0.9423
31,0.5,55,55,45,0.8182
31,0.6,55,52,46,0.8846
31,0.7,55,53,38,0.717
31,0.8,55,50,28,0.56
31,0.9,55,50,8,0.16
31,1.0,55,55,1,0.0182
31,1.5,55,55,0,0.0
31,2.0,55,55,0,0.0
31,2.5,55,54,0,0.0
